date,USD,Total,value,value_10yravg,sd_10yravg,value_2yravg,sd_2yravg,zscore_10yravg,zscore_2yravg
2010-04-01,6353978,20270752,0.3134554652930488,NA,NA,NA,NA,NA,NA
2010-07-01,6351118,19313185,0.32884881494170953,NA,NA,NA,NA,NA,NA
2010-10-01,6509380,20866269,0.3119570633350888,NA,NA,NA,NA,NA,NA
2011-01-01,6586189,20692857,0.31828321241479607,NA,NA,NA,NA,NA,NA
2011-04-01,6725787,21654728,0.31059207947566925,NA,NA,NA,NA,NA,NA
2011-07-01,6788537,22035911,0.30806700027060374,NA,NA,NA,NA,NA,NA
2011-10-01,6827655,21195025,0.3221347934244003,NA,NA,NA,NA,NA,NA
2012-01-01,6875240,20814654,0.330307676505216,NA,NA,0.3179557632075666,0.008426560107678446,NA,1.4658310318577201
2012-04-01,7048854,21600989,0.32632089206656234,NA,NA,0.31956394155425577,0.008669167083803674,NA,0.7794232648866998
2012-07-01,7138172,20853925,0.34229393267694214,NA,NA,0.32124458127115985,0.011550685998430734,NA,1.8223464310814126
2012-10-01,7285604,21341558,0.3413810744276496,NA,NA,0.32492258265772994,0.012789098275328275,NA,1.2869157321020888
2013-01-01,7490001,21697114,0.3452072473786145,NA,NA,0.3282880870282072,0.014251319092563037,NA,1.187199601701183
2013-04-01,7672183,21271809,0.3606737442969707,NA,NA,0.3345482951308699,0.01622987166865708,NA,1.609713847371566
2013-07-01,7855614,21486328,0.36560988922816406,NA,NA,0.34174115625056495,0.015554176207044287,NA,1.534554621207729
2013-10-01,7963252,22076888,0.36070536753187316,NA,NA,0.3465624780139991,0.014554319340402296,NA,0.9717314281138444
2014-01-01,8129505,22499701,0.36131613482330277,NA,NA,0.3504385353037599,0.013711615182993941,NA,0.7933127771142522
2014-04-01,8269633,22588476,0.3660996430215124,NA,NA,0.3554108791731287,0.010568650999697723,NA,1.0113650123075688
2014-07-01,8490240,22846740,0.3716171322473141,NA,NA,0.3590762791194252,0.010453856341521078,NA,1.1996389387979804
2014-10-01,8682289,22041253,0.3939108634159773,NA,NA,0.3656425027429661,0.01373414639034042,NA,2.0582539219833174
2015-01-01,8777021,21574010,0.40683308295490733,NA,NA,0.3733457321900027,0.017422209653935046,NA,1.9221069789698595
2015-04-01,8950788,20610819,0.4342761925181139,NA,NA,0.38254603821764566,0.026724815635327706,NA,1.9356599127324123
2015-07-01,9138306,21299303,0.42904249026364855,NA,NA,0.3904751133470812,0.030170078474736375,NA,1.2783320052966605
2015-10-01,9178681,21206235,0.4328293541970086,NA,NA,0.39949061168022315,0.030773471220504986,NA,1.0833598289220991
2016-01-01,9173693,20850717,0.4399701458707631,NA,NA,0.40932236306115566,0.029367234025030928,NA,1.0436046780396497
2016-04-01,9303905,21447496,0.43379912508201424,NA,NA,0.4177847983187184,0.02448044965582413,NA,0.6541679988907344
2016-07-01,9499898,21356269,0.44482947840748777,NA,NA,0.4269363415887401,0.017423310675635195,NA,1.0269653771237328
2016-10-01,9738966,21574292,0.4514153233858149,NA,NA,0.4341243990849698,0.013202787914608794,NA,1.3096419038673508
2017-01-01,9818062,20967883,0.46824288365210737,NA,NA,0.4418006241721198,0.012917622853878166,NA,2.0469911359928736
2017-04-01,10016305,21441232,0.46715156106701333,NA,NA,0.44591004524073224,0.015208123106442964,NA,1.39672171757224
2017-07-01,10193230,22378475,0.4554926106448272,NA,NA,0.4492163102883796,0.013829931821139315,NA,0.4538200504252784
2017-10-01,10429121,23050184,0.452452830745299,NA,NA,0.4516692448569159,0.012145997165373965,NA,0.06451391991239563
2018-01-01,10580951,23436369,0.4514756957445072,NA,NA,0.4531074385911339,0.011207765575852619,NA,-0.14559037977581643
2018-04-01,10736886,24114106,0.4452533301462638,NA,NA,0.4545392142241651,0.008878338499753701,NA,-1.0459033611028599
2018-07-01,10915949,23687652,0.46082866296752417,NA,NA,0.45653911229416966,0.008150860770984984,NA,0.5262696534609249
2018-10-01,11001194,23801222,0.46221130999072235,NA,NA,0.4578886106197831,0.008074715096615795,NA,0.5353376954130502
2019-01-01,11046197,23758802,0.464930723358863,NA,NA,0.4574745905831275,0.007534835748675049,NA,0.989554785855364
2019-04-01,11177484,23931216,0.4670671143497263,NA,NA,0.45746403474346664,0.007519385531291182,NA,1.2771096210318513
2019-07-01,11275673,24240310,0.46516207919783203,NA,NA,0.45867271831259226,0.007923510757412619,NA,0.8190007035920068
2019-10-01,11435711,24092071,0.47466699728719874,NA,NA,0.4614494891303297,0.009218928263041198,NA,1.4337358725154878
2020-01-01,11583468,24789224,0.46727836256592786,0.3988497845293247,0.059509881081372305,0.4634248224830073,0.008436351144433068,1.149869177910735,0.45677805688107237
2020-04-01,11655672,24519314,0.475366969891572,0.4028975721442878,0.05905732079098074,0.4671890274511708,0.005308510459226576,1.2271026991517668,1.5405342992566498
2020-07-01,11932211,25430083,0.4692163607959911,0.40640676079064475,0.05871384441380632,0.46823748967972917,0.004661753852031348,1.0697579188082758,0.20997915105178624
2020-10-01,12128590,26164558,0.4635503492931163,0.4101965929395955,0.057337381362066384,0.4684048695925284,0.004432895827406305,0.9305230738845514,-1.0951126506062119
2021-01-01,12138772,26933188,0.45069941218989745,0.413506997933973,0.055693643322669524,0.46662595569640775,0.007687199104461642,0.6678035775186154,-2.071826589904058
2021-04-01,12460513,26950024,0.4623562858422686,0.417301103093138,0.05363419725326244,0.46603710213297556,0.007827722548317458,0.8400458113762488,-0.47022825195792267
2021-07-01,12717145,27605818,0.46066901549521194,0.4211161534737532,0.051029141929272936,0.46547546917014804,0.008057294107897305,0.7751034120126796,-0.5965344705768008
2021-10-01,12932932,27665302,0.46747843200844147,0.4247497444383542,0.048931923305664156,0.46457689851030337,0.007245768770681444,0.8732272243454029,0.4004452239600267
2022-01-01,13117055,27818231,0.4715272872671163,0.4282802347074018,0.04699952303993672,0.4651080140979519,0.0076182251517072225,0.9201593923190743,0.8426205633638784
2022-04-01,13150732,27790635,0.4732073232583566,0.43195239548719655,0.04450082010638331,0.4648380582688,0.007231193410076644,0.9270599434468033,1.157383645401339
2022-07-01,13149427,26926774,0.48834022969108737,0.4356035529125502,0.04291921644994322,0.467228541880687,0.011042116388051455,1.2287427670084348,1.9119240432246356
2022-10-01,13103858,26092027,0.5022169415967568,0.43962444959177793,0.041371695447045595,0.4720618659186421,0.016376242304998415,1.5129303096870945,1.8413916401878512
2023-01-01,13093632,27354017,0.4786730958016148,0.44296109580235293,0.038867932389791415,0.47555857637010673,0.013973481229129484,0.9188036976374276,0.22288786741384678
2023-04-01,13206028,28013063,0.47142392104712005,0.4457298502211066,0.03674242106532628,0.4766920307707132,0.013089387151747149,0.6993026066608566,-0.4024718394008212
2023-07-01,13208678,28237817,0.46776555000692865,0.4482837417405758,0.03451335087779546,0.47757909758467776,0.012047372755122257,0.5644716543268683,-0.8145798903397106
2023-10-01,13220296,27985632,0.4723958351199644,0.45107600343027804,0.03164516269919598,0.47819377297361815,0.011574568736989258,0.6737153445012325,-0.5009204217799544
2024-01-01,13336486,28781322,0.4633729472190332,0.4536274237401713,0.028143053776302225,0.47717448046760774,0.01256240239081526,0.3462852168185145,-1.0986380486160219
2024-04-01,13552034,28972868,0.467749136882134,0.4561686610866868,0.024373810268324497,0.47649220717057994,0.012950854728372988,0.4751196332440825,-0.6750960049989181
2024-07-01,13737326,29234160,0.46990664346093747,0.4586258988670274,0.02023418843489174,0.4741880088918112,0.012157254397696687,0.5575091202796935,-0.3521654882606433
2024-10-01,13999248,30493285,0.4590928133849797,0.4602554476162525,0.017300835843022985,0.46879749286533906,0.005908521642389312,-0.06720104403173313,-1.64248860674985
2025-01-01,14197453,29666577,0.47856727791682874,0.4620488024903005,0.015213158212040485,0.4687842656297408,0.005883319797885257,1.0858018562808776,1.6628387752446199
2025-04-01,14548148,30825578,0.47195053406622256,0.46299066102900327,0.014603660984497936,0.4688500922571286,0.005919905559571216,0.613536088432234,0.5237316335361497
